id,text,classification,rationale,query
10,Where would you put a dictionary while you 're using it ?,C,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",library [SEP] study area [SEP] table [SEP] classroom [SEP] shelf
11,Johnny had a disease that kept him from playing with friends . His family only wanted him to achieve what ?,B,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",healthy [SEP] wellness [SEP] passing around [SEP] cure [SEP] infect
12,"When you are drinking liquid , what are you doing ?",D,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",need to urinate [SEP] vomiting [SEP] having fun [SEP] swallow [SEP] sickness
13,What is the opposite of hands ?,D,"[0, 0, 0, 1, 1, 1, 1]",toes [SEP] body part [SEP] legs [SEP] feet [SEP] foot
14,What do people in the same family often share ?,B,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",brown hair [SEP] names [SEP] two eyes [SEP] will [SEP] brains
15,"My idea of entertainment is gambling , where should I go ?",A,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]",casino [SEP] show [SEP] fairgrounds [SEP] buy lottery [SEP] friend 's house
16,Where could you go to spend money ?,E,"[0, 0, 1, 1, 1, 1, 1, 0]",supermarket [SEP] car show [SEP] water fountain [SEP] bank vault [SEP] art show
17,"It was n't something he had had before , but he found the chicken and grape vinaigrette what to be delicious ?",B,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",bowl of fruit [SEP] salad [SEP] table [SEP] food store [SEP] restaurant
18,What is needed mentally to ready one 's self to begin detailed work ?,A,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",concentrate [SEP] shoes [SEP] apply for job [SEP] shave [SEP] shower
19,What emotion might someone feel if they 've been doing housework all day and someone messed up your home ?,B,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",tiredness [SEP] anger [SEP] stress [SEP] boredom [SEP] anxiety
20,Where do you get a cheap room at a reception desk ?,E,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",lobby [SEP] office park [SEP] at hotel [SEP] cellphone [SEP] motel
21,When a retired person returns to work they likely need to do what ?,B,"[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",key [SEP] earn money [SEP] get out of bed [SEP] need money [SEP] understand themselves
22,"The IMAX screen was even bigger than he imagined , it was so big he felt outdoors rather than in a what ?",E,"[0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",drive in movie [SEP] monitor [SEP] movies [SEP] home [SEP] theatre
23,"What is a great , but non - specific , overall benefit of exercise ?",A,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",good health [SEP] heart attacks [SEP] relaxation [SEP] rest [SEP] fatigue
24,"If I want to do a math problem in a proper way , what should I check for ?",C,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",books [SEP] incomplete [SEP] incorrect [SEP] impolite [SEP] inappropriate
25,A musician is most likely to perform a concerto for clarinet with what type of group ?,B,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]",music store [SEP] orchestra [SEP] jazz band [SEP] rock band [SEP] music studio
26,"The broadcast studio had a booth set up for interviews , the host sat down and adjusted his what so the audience could hear ?",B,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",large room [SEP] microphone [SEP] guest speaker [SEP] radio station [SEP] television station
27,Can you name a good reason for attending school ?,A,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",get smart [SEP] boredom [SEP] colds and flu [SEP] taking tests [SEP] spend time
28,He did n't have a clean plate so he ate the meal in a what ?,D,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",saucer [SEP] fork [SEP] cup [SEP] bowl [SEP] food
29,"The students helped build the backdrop , it was just one of the parts of putting on their little what ?",C,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",theater [SEP] theatre [SEP] stage show [SEP] photography studio [SEP] mini project
30,Jane thought that the show was entertaining . Watching it brought her what emotion ?,D,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",laughter [SEP] embarrassment [SEP] fatigue [SEP] fulfillment [SEP] steel
31,"Always wash your hands before eating , you do n't want to get germs onto food and inside your what ?",D,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",water [SEP] doctor [SEP] spread disease [SEP] mouth [SEP] ear
32,"People went out drinking and threw bottles in the grass . For that reason , there was a lot of broken glass where ?",D,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",beach [SEP] trash [SEP] street [SEP] field [SEP] recycling bin
33,Where is a good place to get an old fashioned cup of coffee ?,D,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",electrical circuit [SEP] coffee shop [SEP] canteen [SEP] diner [SEP] mexico
34,"If I have to pass through a ticket booth to ride a roller coaster , where am I likely ?",B,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",train station [SEP] amusement park [SEP] venue [SEP] bank [SEP] fairgrounds
35,Where might you find dirt on a place you would see a gutter and rubber hit it regularly ?,D,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",race track [SEP] bed [SEP] ground [SEP] street [SEP] subway
36,"The crossroads were deserted of traffic , where was it located ?",C,"[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",life [SEP] desert [SEP] countryside [SEP] journey [SEP] city
37,Where would you dispose of a broken icebox ?,D,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",antique store [SEP] in the graveyard [SEP] kitchen [SEP] junk yard [SEP] ice
38,If you 're pouring water over grounds what type of drink are you making ?,A,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",cup of coffee [SEP] brook [SEP] synagogue [SEP] tea [SEP] sink
39,"Family is always the best for devotion , but it is also nice if a person has what ?",D,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",good review [SEP] headache [SEP] with cat [SEP] loyal friends [SEP] shoes
40,"I was intoxicated and driving my car , what would I do with havoc ?",D,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",getting somewhere [SEP] getting tired [SEP] pave new roads [SEP] wreak [SEP] death
41,Where would you find a heel on apparel ?,E,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",loaf of bread [SEP] foot [SEP] shoe [SEP] sock [SEP] boot
42,WHat is the central bank responding to when they are fighting inflation ?,B,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",deflation [SEP] problems [SEP] spend more [SEP] people [SEP] not noticeable
43,They had so much fun that afternoon that it seemed like it had become what in a blink of the eye ?,E,"[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",before noon [SEP] morning [SEP] christmas [SEP] before lunch [SEP] evening
44,How might people perceive someone they are scared of ?,C,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",human [SEP] happy [SEP] dangerous [SEP] strange [SEP] weird
45,What is likely to happen to trees that are dry ?,B,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",fall over [SEP] die [SEP] branch out [SEP] fall down [SEP] stand together
46,Sam did n't care about what company he kept on Christmas . He just did n't want to be what ?,B,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",you [SEP] alone [SEP] solitude [SEP] he want to marry [SEP] loneliness
47,"If you are fiddling through a music book when you should be playing , you probably do nt have ?",D,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",practice [SEP] dexterity [SEP] idle time [SEP] knowledge of music [SEP] conductor
48,What kind of business would you make if you want to help people ?,A,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",nonprofit [SEP] art [SEP] pyramid scheme [SEP] pleasure [SEP] personal
49,What is one fun result of farting ?,E,"[1, 1, 1, 1, 1, 1, 1, 1]",bad smell [SEP] people laughing at [SEP] social ostracism [SEP] causing unpleasant odor [SEP] loud noise
50,"Johnny had a number of tools , including a hammer , which is needed because of his work . Where might he have worked ?",E,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",garage [SEP] tool box [SEP] hardware store [SEP] house [SEP] repair shop
51,If you 're bored sitting at a friends home what should you do ?,C,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",watch tv [SEP] socialize [SEP] go somewhere [SEP] jump rope [SEP] clean room
52,Bobby noticed that the silverware was plastic . This was a turn off for him because it was so cheap . Where might he have been ?,A,"[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",restaurant [SEP] silver [SEP] cupboard [SEP] table [SEP] kitchen
53,"She wore tight jeans , she wanted everybody to see her thigh what ?",C,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",thrift store [SEP] closet [SEP] gap [SEP] bulge [SEP] clothing store
54,"The convenience was unparalleled , but the traveler was just waiting for the landing at the what ?",A,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0]",airport [SEP] restaurant [SEP] change planes [SEP] apartment building [SEP] stairwell
55,"The stream had not had a flow in months , the drought had left the water levels what ?",B,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",lowered [SEP] stagnant [SEP] stagnate [SEP] hold up [SEP] stopping
56,In what region is a centavo uses ?,B,"[1, 1, 1, 1, 1, 1, 1, 1]",colon [SEP] austral [SEP] cordoba [SEP] indian [SEP] mexican peso
57,What do you do when your friend needs someone to help them move next week ?,B,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",rely on [SEP] promise to help [SEP] pretend to be busy [SEP] offer to help [SEP] write letter
58,Where is a boat always supposed to be ?,D,"[0, 0, 1, 1, 0, 0, 0, 0, 0]",lake [SEP] harbor [SEP] sailing [SEP] water [SEP] ocean
59,A shower is an expected amenity when you reserve a what ?,B,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",gy mnasiu m [SEP] motel room [SEP] seashore [SEP] bath room [SEP] locker room
60,What does water do when I submerges clothing ?,C,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",rushes [SEP] planet earth [SEP] drenching [SEP] ocean [SEP] septic tank
61,Where would you put nails to stop them from damaging other things nearby ?,E,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",store [SEP] build doghouse [SEP] cabinet [SEP] hammer [SEP] container
62,The ranch house is common in what northwestern Rocky Mountains state,B,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",countryside [SEP] montana [SEP] british columbia [SEP] california [SEP] desert
63,The ceiling was soggy . This suggested that the roof had what ?,A,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",leak [SEP] building [SEP] field [SEP] metaphor [SEP] sag
64,The senator had been going public with news about what was really going on in the govenor 's office . What sort of situation did the bring around the governor ?,C,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",shock [SEP] sorrow [SEP] controversy [SEP] fear [SEP] pain
65,On what continent would you find a lemur ?,B,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",hole [SEP] australia [SEP] cage [SEP] wilderness [SEP] forrest
66,"The person could get a car loan at a great interest rate , why ?",D,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",smooth skin [SEP] fresh produce [SEP] understand themselves [SEP] good credit [SEP] headache
67,Everyone is special . Everyone has what ?,B,"[1, 1, 1, 1, 1, 1, 1, 1]",feelings [SEP] unique personality [SEP] values [SEP] experiences [SEP] different standards
68,Where do you have to fan yourself in public watching people run and throw balls ?,A,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",sports stadium [SEP] sauna [SEP] living room [SEP] appliance store [SEP] hot room
69,"The board game instructed that you must conquer opponent , only the what would come out on top ?",E,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",top piece [SEP] strong [SEP] win [SEP] total domination [SEP] best
70,Where can a ferret hide easily ?,C,"[0, 0, 1, 1, 0, 0, 0]",cousin 's house [SEP] taxi cab [SEP] wood pile [SEP] own home [SEP] in a fridge
71,"The boy is good at making friends , what happens as an immediate and obvious result ?",B,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",popularity [SEP] having friends [SEP] happiness [SEP] conflict [SEP] good feeling
72,East coast areas such as Florida are found where ?,C,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",florida [SEP] denmark [SEP] united states [SEP] map [SEP] california
73,What do children like to do in the car ?,D,"[0, 0, 1, 1, 1, 1, 0, 0, 0, 0]",throw things [SEP] say the alphabet [SEP] hear stories [SEP] play with toys [SEP] play games
74,"When you feed food to animals , you are at a petting ?",B,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",kitchen [SEP] zoo [SEP] spoon [SEP] restaurant [SEP] bowl
75,Where could you find ticket office that are all of the same type ?,C,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",humans [SEP] city [SEP] movie theaters [SEP] arena [SEP] courthouse
76,Bob lost his sunglasses . He looked everywhere for them . Where might he get new ones quickly ?,E,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",department store [SEP] bag [SEP] glove compartment of car [SEP] shirt pocket [SEP] drugstore
77,"The jury deliberated for hours , the choice of passing sentence required them to make a what ?",E,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",court house [SEP] go to jail [SEP] death [SEP] appeals [SEP] judgement
78,What do many people do to a person on their birthday ?,A,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",give gifts [SEP] receive letters [SEP] feel embarrassed [SEP] go to the club [SEP] thank god
79,If your payroll tax amount is too much you 'll get what from the IRS ?,B,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",discount [SEP] refund [SEP] income [SEP] spend [SEP] credit
80,Where are plants happiest in the spring ?,A,"[1, 1, 1, 1, 1, 1, 1, 1]",garden [SEP] surface of earth [SEP] in the shade [SEP] park [SEP] greenhouse
81,"Washing hands after certain activities is highly recommended , keeping up this habit can keep you in good what ?",A,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",health [SEP] skin irritation [SEP] park [SEP] become wet [SEP] dry skin
82,"The doctor recommended washing hands , what was being promoted ?",C,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",cold hands [SEP] wet floor [SEP] health [SEP] become wet [SEP] dry skin
83,What appliance uses water and soap ?,A,"[0, 0, 0, 1, 1, 1, 0]",washing machine [SEP] space shuttle [SEP] blender [SEP] disneyland [SEP] surface of earth
84,"The couple had a forgiving attitude with each other thereafter , what did they do ?",E,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",great relief [SEP] feel better [SEP] respect [SEP] go up high [SEP] make up
85,"The man needed flooring , where was he looking to install it ?",C,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",loft [SEP] home depot [SEP] house [SEP] tiles [SEP] carpet store
86,"If grass is given plenty of water and light , what will it do ?",D,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",burn [SEP] changes color with seasons [SEP] turn brown [SEP] continue to grow [SEP] eat water
87,"Samantha was a person , but she was n't comfortable with others . She 'd rather spend her time with what ?",B,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",headache [SEP] animal [SEP] many people [SEP] put together [SEP] own house
88,"The sloth was very muscular , but he could n't compete in the contest because it had a humans only rule . What contest was the sloth trying to enter ?",A,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",universe [SEP] dictionary [SEP] global [SEP] commercial [SEP] countryside
89,"When the US is at war , where will it likely drop bombs ?",B,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",canada [SEP] afghanistan [SEP] aircraft [SEP] arsenal [SEP] suitcase
90,People used to write with a quill dipped in ink that was made from what part of a bird ?,A,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",feather [SEP] peacock [SEP] porcupine [SEP] hedgehog [SEP] calligraphy
91,Where is a student likely to keep books ?,B,"[0, 0, 0, 0, 0, 0, 1, 1, 0]",table [SEP] backpack [SEP] shelf [SEP] floor [SEP] cabinet
92,The revolving door had an emergency security lock because of all the money where ?,C,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",jewelry store [SEP] mall [SEP] bank [SEP] hotel lobby [SEP] public place
93,"While he wanted to believe , what mindset prevented him from accepting it ?",B,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",deny [SEP] skepticism [SEP] doubt [SEP] disbelief [SEP] paranoid
94,Sam was n't in a rush to shop . That allowed him to be more mindful and do what ?,C,"[0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",slow down [SEP] leisure [SEP] take time [SEP] delay [SEP] go slowly
95,"He felt pride when he looked at his new mile time , what did he do ?",D,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",paint house [SEP] compete against [SEP] tell many people about [SEP] improve yourself [SEP] pass class
96,Why would you be going fishing and releasing the fish ?,E,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",catching fish [SEP] wet clothes [SEP] boredom [SEP] forgetfulness [SEP] have fun
97,"Bob 's feet hurt from running barefoot on the hot pavement . I lost his shoes , did n't know where they landed , and had to run from the corner store to his home . About where did he run ?",D,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",a bed of nails [SEP] town [SEP] attractive consistent look [SEP] city block [SEP] ground
98,What is a body of water similar to a stream is called ?,D,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0]",synagogue [SEP] pastry [SEP] ocean [SEP] brook [SEP] cup of coffee
99,If you get something for no cost you get that thing what ?,D,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",retail markup [SEP] revenue [SEP] income [SEP] for free [SEP] benefit
100,The city was very bright this time of year . There was a much smaller population where ?,E,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",suburbs [SEP] town [SEP] wilderness [SEP] outside [SEP] countryside
101,Children can become obsessed . Charlie focused on reproducing what made him feel good . He wanted to squeeze all the what out of every experience .,D,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",children [SEP] overpopulation [SEP] birth [SEP] fun [SEP] larger family
102,A person who is successful at bringing people to the table probably makes what ?,A,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0]",delicious food [SEP] compliments [SEP] acquire wealth [SEP] bread [SEP] self esteem
103,When we are thankful for getting something what do we do ?,E,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]",say thank [SEP] smile [SEP] looking for [SEP] get more [SEP] show appreciation
104,Google Maps and other highway and street GPS services have replaced what ?,D,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",united states [SEP] mexico [SEP] countryside [SEP] atlas [SEP] oceans
105,"I have a lot of money and a need to visit a desert , where is my likely destination ?",C,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",bank account [SEP] race track [SEP] casino [SEP] supermarket [SEP] art show
106,When you see new people move in next door you might find it what ?,E,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",new friends [SEP] new experience [SEP] look around [SEP] change of surroundings [SEP] interesting
107,Where can many merchants have their stores under one roof ?,C,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",supermarket [SEP] store [SEP] mall [SEP] market [SEP] shopping center
108,"The band was performing live , but if you looked close enough you 'd realize the sound was previously what ?",C,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0]",animated [SEP] broadcast [SEP] recorded [SEP] mixed [SEP] neutral
109,She needed help from a friend to over tighten the strap on her fancy what ?,A,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0]",brassiere [SEP] strapline [SEP] chemise [SEP] brace [SEP] golf bag
110,"The people wanted to take the scenic route , they chose the highway that cut through the what ?",A,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",countryside [SEP] united states [SEP] beach [SEP] atlas [SEP] developed land
111,"The lizard was certainly out of its element in the bustling capital of San Jose , where was the lizard ?",A,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",costa rica [SEP] captivity [SEP] encyclopedia [SEP] new mexico [SEP] imagination land
112,Where could you go on top of a superhighway ?,E,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",city [SEP] rural area [SEP] cyberspace [SEP] computer network [SEP] industrialized country
113,Where is the best place to get a bicycle for a child ?,A,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",toy store [SEP] fun [SEP] street [SEP] university [SEP] garage
114,Where do spirits haunt outside ?,E,"[1, 1, 1, 1, 1, 1]",bar [SEP] funeral home [SEP] haunted house [SEP] liquor cabinet [SEP] cemetary
115,"Her dog was getting too close to the street , she yelled for it to get away and do what to where she pointed down ?",A,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",come here [SEP] being here [SEP] home team [SEP] come back [SEP] available
116,"Visiting museum was an emotional experience for the old veteran , he hid it best he could but he began to what ?",A,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cry [SEP] whisper [SEP] appriciation [SEP] take pictures [SEP] feeling proud
117,"Sean was in a trouble . His clothes were not high quality . In fact , they were very what ?",D,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",bad taste [SEP] crummy [SEP] poor workmanship [SEP] cheap [SEP] ripped
118,"The statistician looked at the attribute but wanted more information , what did he want ?",B,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",calculus [SEP] description [SEP] formulas [SEP] sentence where described [SEP] array
119,What covers the largest percentage of the pacific northwest ?,B,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",united states [SEP] united states [SEP] washington [SEP] oregon [SEP] british columbia
120,Where is a cow likely to be happy at night ?,D,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",countryside [SEP] slaughter house [SEP] barnyard [SEP] stable [SEP] grocery store
121,What is smaller than a country but larger than a city ?,D,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",town [SEP] france [SEP] continent [SEP] state [SEP] metal
